customer_id,age,gender,region,education,income_bracket,tenure_months,num_products,monthly_spend,payment_delay_days,support_tickets_6mo,login_frequency_monthly,last_interaction_days,satisfaction_score,contract_type,has_loyalty_program,referral_count,treatment,offer_type,uplift_segment,churn
CUST00896,47,Male,South,PhD,Lower-Mid,54,1,96.89,1.0,0,9,11,3.0,One Year,0,2,0,None,Sleeping Dog,0
CUST01388,58,Female,East,Bachelor,Upper-Mid,19,2,26.54,7.0,4,7,22,2.0,Month-to-Month,1,2,1,Loyalty Bonus,Sleeping Dog,1
CUST00849,32,Male,East,,Mid,34,1,69.41,10.0,0,9,9,1.0,Month-to-Month,1,0,1,Discount,Lost Cause,1
CUST02091,43,Male,Central,Master,Upper-Mid,105,4,88.76,0.0,1,11,30,,Month-to-Month,0,1,0,None,Lost Cause,0
CUST03004,62,Male,North,Diploma,Upper-Mid,5,1,35.31,30.0,3,2,28,1.0,Month-to-Month,1,1,1,Discount,Sure Thing,0
CUST00378,42,Female,East,High School,Low,2,2,33.01,1.0,2,11,2,5.0,One Year,0,0,1,Discount,Sure Thing,0
CUST01390,30,Male,Central,High School,Lower-Mid,31,1,146.57,15.0,1,7,57,3.0,One Year,1,1,1,Loyalty Bonus,Sleeping Dog,0
CUST01781,23,Male,North,Diploma,Lower-Mid,39,3,52.58,30.0,1,10,1,3.0,Month-to-Month,0,0,0,None,Lost Cause,1
CUST02736,33,Female,North,High School,Upper-Mid,23,2,69.54,30.0,2,9,37,2.0,Month-to-Month,1,0,0,None,Sleeping Dog,1
CUST00671,54,Male,West,Master,Upper-Mid,12,3,14.44,5.0,2,11,29,3.0,Two Year,0,0,0,None,Sleeping Dog,0
CUST00702,52,Male,East,Bachelor,Low,1,1,37.28,0.0,3,7,46,5.0,One Year,0,0,1,Loyalty Bonus,Sleeping Dog,1
CUST01109,32,Female,East,Diploma,Mid,120,2,102.29,0.0,1,8,14,2.0,Month-to-Month,1,1,1,Loyalty Bonus,Persuadable,0
CUST00096,22,Male,West,High School,High,6,2,58.15,15.0,0,10,1,5.0,Month-to-Month,0,3,0,None,Persuadable,0
CUST02463,45,Male,East,PhD,Lower-Mid,7,1,21.26,7.0,0,10,4,4.0,Month-to-Month,1,0,1,Loyalty Bonus,Sure Thing,1
CUST03488,47,Male,East,Bachelor,Upper-Mid,2,1,105.94,0.0,0,10,3,3.0,Month-to-Month,0,1,0,None,Sleeping Dog,1
CUST01773,32,Male,South,High School,Mid,25,1,62.11,15.0,2,9,13,5.0,Month-to-Month,1,1,1,Free Upgrade,Persuadable,1
CUST00503,23,Female,West,High School,Upper-Mid,1,1,61.37,1.0,2,10,5,4.0,Two Year,1,0,1,Free Upgrade,Sleeping Dog,0
CUST01894,38,Male,West,PhD,Mid,26,4,52.45,10.0,1,11,7,4.0,One Year,1,0,1,Free Upgrade,Sure Thing,0
CUST00872,30,Male,West,PhD,Upper-Mid,4,1,35.41,0.0,2,10,19,4.0,One Year,1,0,1,Personal Outreach,Lost Cause,0
CUST00475,59,Female,East,,Upper-Mid,17,3,41.96,3.0,2,9,31,4.0,One Year,1,1,0,None,Sleeping Dog,0
CUST02537,51,Male,West,Master,Mid,8,3,117.94,1.0,1,7,16,4.0,Two Year,0,0,0,None,Sleeping Dog,0
CUST03370,41,Male,North,Bachelor,Upper-Mid,3,1,28.39,,1,13,52,1.0,One Year,1,0,0,None,Sleeping Dog,1
CUST00421,64,Male,South,Bachelor,Mid,4,2,69.95,0.0,1,12,8,4.0,Month-to-Month,0,1,0,None,Persuadable,0
CUST03421,32,Male,North,Bachelor,Low,4,1,63.52,5.0,1,14,22,3.0,One Year,1,2,1,Discount,Lost Cause,0
CUST02906,49,Male,East,High School,Low,28,1,36.47,10.0,1,6,5,3.0,Month-to-Month,1,5,0,None,Lost Cause,0
CUST00195,42,Male,West,Master,Lower-Mid,69,3,24.88,0.0,2,7,1,4.0,One Year,0,1,0,None,Persuadable,0
CUST00632,58,Male,Central,PhD,Lower-Mid,5,1,56.14,3.0,3,8,20,1.0,Month-to-Month,0,0,1,Loyalty Bonus,Sleeping Dog,1
CUST01696,63,Female,West,High School,Mid,1,1,90.36,15.0,2,7,1,3.0,One Year,1,0,0,None,Sure Thing,1
CUST02486,50,Male,East,High School,Lower-Mid,33,3,151.93,10.0,1,6,5,5.0,Month-to-Month,0,4,0,None,Lost Cause,0
CUST02360,44,Male,Central,Master,Mid,42,2,41.93,3.0,2,7,12,5.0,Month-to-Month,1,1,1,Discount,Persuadable,0
CUST00899,54,Female,Central,Diploma,Upper-Mid,32,1,116.55,10.0,1,9,9,3.0,Month-to-Month,1,0,0,None,Persuadable,1
CUST00604,56,Female,Central,Diploma,Mid,1,1,64.28,5.0,1,10,12,1.0,One Year,1,2,1,Personal Outreach,Lost Cause,1
CUST02306,75,Male,North,High School,Mid,25,2,73.3,7.0,1,8,12,4.0,Month-to-Month,1,0,0,None,Sleeping Dog,0
CUST02465,50,Male,North,Diploma,Upper-Mid,49,3,63.68,2.0,2,7,17,5.0,Month-to-Month,0,0,1,Personal Outreach,Lost Cause,0
CUST02973,23,Male,Central,Master,Mid,75,2,134.63,0.0,3,10,2,5.0,Two Year,1,0,0,None,Lost Cause,0
CUST01417,40,Female,Central,Master,Low,1,2,37.31,7.0,2,8,6,5.0,One Year,1,0,0,None,Lost Cause,0
CUST01437,37,Female,North,Bachelor,Mid,12,1,152.85,5.0,0,9,1,5.0,Month-to-Month,0,1,1,Loyalty Bonus,Sleeping Dog,0
CUST00182,29,Female,South,High School,,68,1,55.5,0.0,0,6,14,2.0,Month-to-Month,0,1,1,Loyalty Bonus,Persuadable,1
CUST01303,37,Male,East,Master,Mid,34,2,225.56,7.0,0,10,32,2.0,One Year,1,2,1,Personal Outreach,Sure Thing,0
CUST03284,50,Other,East,Diploma,Upper-Mid,20,2,129.95,15.0,0,6,1,5.0,Month-to-Month,1,3,0,None,Sure Thing,0
CUST00515,33,Male,West,PhD,Mid,98,1,121.57,15.0,1,5,18,1.0,Two Year,0,1,1,Discount,Persuadable,0
CUST02494,57,Female,Central,Bachelor,Lower-Mid,9,1,110.24,30.0,0,6,19,4.0,One Year,1,1,1,Personal Outreach,Persuadable,0
CUST00370,30,Female,North,High School,Low,47,1,82.15,1.0,1,7,29,3.0,One Year,0,1,0,None,Lost Cause,1
CUST00297,50,Female,West,Diploma,High,26,1,116.85,2.0,0,9,10,5.0,One Year,0,0,1,Free Upgrade,Persuadable,0
CUST01245,32,Male,East,Bachelor,Upper-Mid,52,2,34.3,1.0,2,2,45,4.0,Month-to-Month,0,0,1,Personal Outreach,Persuadable,0
CUST00620,42,Female,West,Bachelor,Upper-Mid,120,2,158.36,7.0,2,8,9,3.0,Month-to-Month,1,1,1,Personal Outreach,Sleeping Dog,0
CUST00787,50,Male,South,High School,Upper-Mid,39,2,59.1,0.0,3,6,31,4.0,Month-to-Month,0,1,1,Free Upgrade,Sleeping Dog,1
CUST01598,64,Male,Central,High School,Lower-Mid,13,3,156.89,1.0,2,8,17,5.0,Month-to-Month,1,0,1,Free Upgrade,Sure Thing,0
CUST00319,43,Female,South,Bachelor,Mid,41,1,44.81,3.0,0,5,26,3.0,Month-to-Month,0,0,1,Free Upgrade,Lost Cause,1
CUST02890,44,Male,East,Master,Upper-Mid,21,1,61.12,7.0,2,3,23,3.0,Two Year,0,0,0,None,Sure Thing,1
CUST00540,33,Male,West,Master,Low,59,1,151.34,7.0,3,10,53,1.0,Month-to-Month,1,1,1,Discount,Sleeping Dog,1
CUST03187,25,Male,South,Bachelor,Upper-Mid,52,4,43.24,5.0,0,6,18,4.0,Month-to-Month,1,0,1,Discount,Persuadable,0
CUST02074,42,Female,West,Bachelor,Upper-Mid,8,1,38.09,1.0,0,5,16,4.0,Two Year,1,1,1,Free Upgrade,Persuadable,0
CUST01033,44,Female,East,Bachelor,Mid,14,1,165.22,15.0,1,10,6,4.0,Two Year,0,2,0,None,Sleeping Dog,0
CUST00187,45,Male,North,High School,Mid,16,4,43.2,2.0,1,10,19,5.0,Month-to-Month,1,0,1,Free Upgrade,Sleeping Dog,0
CUST01622,22,Male,East,High School,Mid,4,1,58.29,2.0,2,6,61,3.0,Two Year,0,2,1,Discount,Lost Cause,0
CUST02434,37,Female,East,Bachelor,Lower-Mid,20,2,21.82,3.0,1,6,12,5.0,Two Year,0,0,1,Free Upgrade,Sleeping Dog,1
CUST01017,32,Male,North,High School,Lower-Mid,16,2,48.72,0.0,3,8,3,3.0,Month-to-Month,0,1,0,None,Persuadable,1
CUST00449,33,Male,South,Bachelor,High,50,1,153.0,,1,7,7,3.0,Two Year,0,1,1,Discount,Sure Thing,0
CUST00846,45,Male,Central,PhD,Upper-Mid,94,1,55.66,30.0,1,5,32,5.0,Two Year,1,1,1,Loyalty Bonus,Sure Thing,0
CUST02333,21,Female,South,Master,Lower-Mid,28,1,53.69,30.0,1,9,69,3.0,Month-to-Month,1,0,1,Discount,Sure Thing,1
CUST01658,55,Female,South,High School,Mid,14,1,189.9,0.0,0,7,12,5.0,Two Year,0,0,0,None,Sure Thing,0
CUST01227,40,Female,West,Bachelor,Mid,1,3,72.57,5.0,2,6,10,3.0,One Year,1,0,0,None,Persuadable,0
CUST02667,50,Female,West,Diploma,Low,15,2,101.99,0.0,0,6,11,3.0,One Year,1,1,0,None,Persuadable,0
CUST02750,37,Female,South,Bachelor,High,4,1,211.31,7.0,1,14,1,3.0,Month-to-Month,1,0,1,Loyalty Bonus,Sure Thing,1
CUST02995,28,Male,Central,PhD,Upper-Mid,70,2,55.85,,3,9,23,1.0,One Year,0,0,1,Personal Outreach,Persuadable,0
CUST00088,43,Female,South,High School,Upper-Mid,87,3,49.44,0.0,0,7,9,1.0,Month-to-Month,0,1,1,Free Upgrade,Sleeping Dog,1
CUST00799,40,Female,South,,Mid,36,2,174.71,7.0,0,6,110,2.0,One Year,1,0,0,None,Sure Thing,1
CUST01943,43,Female,West,Bachelor,Lower-Mid,10,2,203.13,30.0,2,11,7,3.0,Two Year,1,0,0,None,Lost Cause,0
CUST01243,33,Female,East,Bachelor,Mid,1,2,56.93,0.0,3,10,1,4.0,Month-to-Month,0,2,1,Personal Outreach,Sleeping Dog,1
CUST02897,18,Female,South,High School,Low,7,3,135.52,2.0,0,11,14,4.0,Month-to-Month,1,0,1,Discount,Sure Thing,1
CUST02835,37,Male,East,Bachelor,Upper-Mid,19,1,215.33,7.0,1,10,8,1.0,One Year,1,1,0,None,Sleeping Dog,1
CUST00984,39,Male,East,Bachelor,Upper-Mid,32,2,144.65,5.0,3,8,22,5.0,Month-to-Month,1,2,1,Loyalty Bonus,Persuadable,0
CUST01675,59,Other,West,Diploma,Lower-Mid,75,1,53.07,30.0,0,7,32,1.0,One Year,0,0,0,None,Sleeping Dog,1
CUST00804,34,Male,East,PhD,Mid,73,3,90.99,15.0,2,7,51,2.0,Month-to-Month,0,0,1,Free Upgrade,Sleeping Dog,1
CUST01059,46,Male,South,High School,High,14,1,211.68,5.0,2,10,1,5.0,Month-to-Month,1,2,1,Discount,Persuadable,0
CUST00417,58,Female,Central,Master,Mid,4,3,86.79,2.0,0,8,3,3.0,Month-to-Month,1,1,1,Free Upgrade,Lost Cause,1
CUST01808,46,Female,West,Bachelor,High,42,1,65.49,5.0,1,5,108,4.0,Month-to-Month,0,1,1,Personal Outreach,Sure Thing,1
CUST03095,29,Male,South,Bachelor,Mid,14,2,138.81,2.0,1,5,1,4.0,Month-to-Month,1,2,0,None,Sleeping Dog,1
CUST00125,47,Female,West,Bachelor,Low,42,2,78.02,0.0,3,6,21,4.0,One Year,1,0,1,Loyalty Bonus,Lost Cause,1
CUST00706,47,Male,East,PhD,Mid,35,2,24.8,0.0,2,6,54,1.0,Month-to-Month,1,0,1,Personal Outreach,Sleeping Dog,1
CUST01365,54,Male,South,Bachelor,Mid,81,1,122.79,2.0,0,6,18,,Month-to-Month,1,0,0,None,Sure Thing,1
CUST01539,25,Male,Central,PhD,Upper-Mid,40,1,71.34,0.0,2,7,12,4.0,Two Year,0,0,0,None,Sleeping Dog,0
CUST02479,23,Male,Central,Bachelor,Low,19,3,55.81,0.0,2,6,6,,Month-to-Month,0,1,0,None,Persuadable,0
CUST00593,45,F,West,Bachelor,Mid,3,2,38.35,30.0,2,7,41,5.0,Month-to-Month,1,0,0,None,Sleeping Dog,1
CUST02683,36,Female,North,PhD,High,9,1,86.36,15.0,3,10,16,1.0,Month-to-Month,1,2,0,None,Sleeping Dog,1
CUST00566,35,Male,South,High School,Upper-Mid,6,1,82.27,7.0,2,6,113,5.0,Two Year,0,1,0,None,Sure Thing,1
CUST03294,44,Female,East,Master,Lower-Mid,1,2,34.57,0.0,2,3,2,5.0,One Year,0,1,0,None,Sure Thing,1
CUST01022,33,Male,Central,Bachelor,Mid,1,1,52.49,15.0,1,7,4,5.0,Two Year,1,1,0,None,Persuadable,0
CUST02294,30,Female,South,Diploma,Low,19,1,25.09,5.0,1,5,3,4.0,One Year,1,0,1,Discount,Sleeping Dog,0
CUST02730,34,Male,North,Bachelor,Low,10,2,116.72,10.0,2,9,9,4.0,Month-to-Month,1,2,0,None,Sure Thing,1
CUST02527,45,Female,Central,Master,Mid,81,1,59.22,10.0,1,7,1,4.0,Month-to-Month,1,0,1,Loyalty Bonus,Persuadable,0
CUST00547,46,Female,Central,Bachelor,Mid,3,3,47.99,0.0,2,10,9,3.0,Month-to-Month,1,0,0,None,Persuadable,1
CUST02927,38,Female,North,Bachelor,Lower-Mid,11,2,67.91,1.0,2,7,1,2.0,Month-to-Month,1,2,0,None,Lost Cause,1
CUST01497,64,Male,West,Bachelor,Upper-Mid,7,3,35.93,0.0,0,6,38,4.0,Two Year,1,1,1,Loyalty Bonus,Sleeping Dog,0
CUST01587,42,Female,Central,PhD,Upper-Mid,11,3,34.65,10.0,3,6,26,2.0,Month-to-Month,1,2,0,None,Sure Thing,1
CUST01842,18,Male,Central,Bachelor,High,11,1,120.1,3.0,1,9,32,3.0,One Year,1,1,0,None,Lost Cause,0
CUST01430,36,Male,East,Master,Mid,36,2,122.15,,4,10,21,4.0,Month-to-Month,1,0,0,None,Sleeping Dog,1
CUST00597,36,Female,East,Master,High,73,4,63.89,3.0,2,6,20,3.0,Month-to-Month,0,0,1,Loyalty Bonus,Sure Thing,0
CUST01889,34,Male,East,Bachelor,Mid,7,1,98.53,15.0,2,8,24,3.0,Two Year,1,3,1,Discount,Persuadable,0
CUST00076,49,Male,East,Bachelor,Lower-Mid,17,2,57.64,0.0,0,6,9,4.0,Month-to-Month,1,2,1,Loyalty Bonus,Sure Thing,0
CUST02937,32,Male,East,Master,High,1,1,39.68,2.0,3,5,12,3.0,One Year,1,4,1,Free Upgrade,Persuadable,0
CUST03170,35,Female,North,Master,Mid,50,4,46.9,5.0,4,13,99,4.0,Month-to-Month,1,1,1,Loyalty Bonus,Persuadable,0
CUST02569,50,Male,West,Master,Mid,5,4,16.76,30.0,1,9,40,4.0,Month-to-Month,1,0,0,None,Lost Cause,1
CUST02095,52,Female,North,Master,Mid,7,4,38.94,0.0,1,8,9,3.0,Month-to-Month,1,0,1,Loyalty Bonus,Sleeping Dog,1
CUST02921,31,Other,West,PhD,Mid,37,3,64.64,0.0,1,10,15,1.0,Month-to-Month,0,0,0,None,Persuadable,1
CUST00685,25,Male,Central,Diploma,Mid,4,1,41.38,0.0,0,11,40,,One Year,0,2,1,Discount,Sleeping Dog,1
CUST01988,46,Male,East,Bachelor,Upper-Mid,22,3,72.4,1.0,2,9,3,1.0,Month-to-Month,1,1,1,Discount,Persuadable,1
CUST01782,39,Male,South,Bachelor,Lower-Mid,16,1,38.08,,4,8,17,2.0,Two Year,1,0,0,None,Sure Thing,0
CUST03482,18,Male,South,Bachelor,Upper-Mid,73,3,34.58,3.0,3,6,23,4.0,Month-to-Month,0,0,0,None,Lost Cause,0
CUST01766,29,Male,North,Bachelor,Low,13,1,53.28,5.0,1,10,28,4.0,Month-to-Month,1,3,1,Loyalty Bonus,Lost Cause,0
CUST01068,53,Male,East,Bachelor,Low,13,2,71.73,1.0,3,5,61,4.0,One Year,1,2,1,Free Upgrade,Sure Thing,0
CUST01555,37,Male,East,Master,Low,23,3,85.02,1.0,0,10,6,5.0,Month-to-Month,1,0,1,Discount,Sleeping Dog,0
CUST01911,60,Male,Central,Bachelor,Upper-Mid,13,1,97.02,3.0,1,5,33,2.0,Month-to-Month,1,2,1,Free Upgrade,Persuadable,1
CUST03152,35,Female,East,High School,Lower-Mid,29,2,46.58,7.0,3,15,20,4.0,Month-to-Month,0,0,1,Discount,Sleeping Dog,1
CUST02421,52,Female,West,High School,Lower-Mid,20,2,52.06,0.0,1,15,76,1.0,Month-to-Month,0,0,1,Personal Outreach,Sure Thing,1
CUST02585,53,Female,East,Master,Mid,11,3,75.87,0.0,0,9,19,,Month-to-Month,1,0,0,None,Sure Thing,0
CUST01122,54,Female,South,Bachelor,High,2,2,137.27,30.0,2,11,32,5.0,One Year,1,1,1,Loyalty Bonus,Sure Thing,0
CUST01676,36,Male,South,Bachelor,Mid,49,2,67.72,0.0,0,4,58,5.0,One Year,0,0,0,None,Persuadable,0
CUST02495,24,Male,North,Bachelor,High,27,2,119.2,3.0,1,7,7,2.0,One Year,0,1,0,None,Lost Cause,1
CUST01515,39,Male,East,Bachelor,Upper-Mid,20,1,119.11,,3,8,6,5.0,One Year,0,2,0,None,Lost Cause,0
CUST03232,18,Female,North,Bachelor,Mid,31,1,81.49,15.0,2,7,1,4.0,Month-to-Month,1,1,0,None,Sure Thing,1
CUST01524,28,Female,South,PhD,Upper-Mid,19,3,24.21,0.0,0,10,23,4.0,Month-to-Month,1,0,1,Discount,Persuadable,0
CUST02403,33,Male,South,Bachelor,Lower-Mid,40,2,50.34,5.0,0,5,16,2.0,Two Year,1,0,1,Personal Outreach,Persuadable,0
CUST01778,39,Male,South,Master,High,11,2,68.64,10.0,1,11,18,3.0,Month-to-Month,0,1,1,Personal Outreach,Persuadable,0
CUST02076,36,Female,West,Master,Upper-Mid,29,3,95.98,0.0,4,7,5,5.0,Month-to-Month,1,0,0,None,Sure Thing,0
CUST00428,48,Male,East,Master,Low,4,3,35.23,3.0,2,8,3,3.0,One Year,1,0,1,Discount,Persuadable,1
CUST02171,51,Male,South,Bachelor,Upper-Mid,1,3,310.78,1.0,1,5,58,1.0,Month-to-Month,1,1,1,Discount,Sure Thing,1
CUST00446,48,Male,North,,Lower-Mid,14,2,107.67,0.0,1,9,17,4.0,One Year,1,0,0,None,Sure Thing,0
CUST00245,25,Male,North,High School,Low,5,4,37.61,30.0,2,9,13,4.0,Month-to-Month,0,1,0,None,Lost Cause,1
CUST02320,26,Male,North,Bachelor,,4,2,33.91,0.0,1,7,44,3.0,Two Year,0,0,1,Personal Outreach,Lost Cause,0
CUST00533,39,Female,South,Diploma,Upper-Mid,21,1,167.67,7.0,2,4,3,5.0,One Year,1,0,0,None,Sure Thing,0
CUST02157,35,Male,South,Master,High,18,1,89.16,10.0,0,4,5,,Two Year,1,0,0,None,Sleeping Dog,0
CUST01733,39,Male,West,Bachelor,Upper-Mid,17,1,72.04,2.0,2,8,13,2.0,Two Year,0,1,1,Loyalty Bonus,Lost Cause,0
CUST02064,38,Female,North,Bachelor,Low,9,2,138.42,5.0,4,8,19,2.0,Month-to-Month,0,1,0,None,Persuadable,1
CUST01204,46,Male,East,Bachelor,Low,7,3,79.98,5.0,1,10,2,2.0,Two Year,1,1,0,None,Persuadable,0
CUST00188,39,Female,West,High School,Mid,18,3,10.0,2.0,2,4,46,3.0,Month-to-Month,1,1,0,None,Persuadable,1
CUST01750,52,Female,East,Master,Lower-Mid,7,1,22.13,0.0,2,12,1,4.0,Month-to-Month,0,0,0,None,Sleeping Dog,1
CUST02060,42,Male,Central,Bachelor,Lower-Mid,90,3,25.51,10.0,1,5,4,2.0,Two Year,0,0,0,None,Lost Cause,1
CUST02165,58,Female,Central,High School,Upper-Mid,53,2,112.75,0.0,0,5,8,5.0,Month-to-Month,1,0,1,Discount,Sure Thing,0
CUST00341,30,Male,East,,Mid,6,1,89.38,10.0,0,3,86,3.0,Two Year,0,1,0,None,Sleeping Dog,0
CUST03403,42,Male,Central,High School,Mid,13,2,80.99,10.0,0,12,1,3.0,Two Year,0,1,1,Personal Outreach,Lost Cause,0
CUST00445,24,Male,East,Bachelor,Upper-Mid,1,2,108.19,1.0,1,8,1,4.0,One Year,0,0,1,Personal Outreach,Sure Thing,0
CUST02191,20,Female,East,Bachelor,Low,74,2,70.82,0.0,0,8,44,5.0,Month-to-Month,1,1,1,Discount,Sleeping Dog,1
CUST01326,18,Female,East,Bachelor,Upper-Mid,103,1,70.68,3.0,2,11,19,3.0,Two Year,1,0,0,None,Sure Thing,0
CUST02623,41,Female,South,Bachelor,Upper-Mid,52,3,93.05,2.0,1,5,4,3.0,Two Year,0,1,1,Loyalty Bonus,Sure Thing,0
CUST03323,21,Female,Central,Bachelor,Upper-Mid,1,1,21.35,30.0,4,8,1,3.0,Month-to-Month,0,1,0,None,Persuadable,1
CUST00214,47,Male,South,Master,Low,32,2,94.6,1.0,1,8,13,4.0,Month-to-Month,1,1,1,Discount,Sure Thing,0
CUST01800,40,Female,East,Master,High,1,3,111.82,5.0,3,8,6,4.0,One Year,0,1,0,None,Lost Cause,1
CUST01076,34,Female,South,PhD,Lower-Mid,8,2,31.13,0.0,4,6,50,4.0,Month-to-Month,0,1,0,None,Sleeping Dog,1
CUST01794,48,Male,North,Diploma,Mid,120,2,128.39,1.0,0,4,11,5.0,Two Year,1,1,1,Loyalty Bonus,Persuadable,0
CUST01117,68,Female,North,Diploma,Mid,59,2,194.48,10.0,2,8,13,4.0,Month-to-Month,0,0,0,None,Sure Thing,0
CUST03413,63,Male,North,Bachelor,High,1,1,69.43,1.0,0,6,1,3.0,Month-to-Month,0,0,1,Discount,Sleeping Dog,1
CUST01491,33,Female,South,Bachelor,Lower-Mid,85,1,123.23,2.0,1,10,49,5.0,Month-to-Month,1,0,0,None,Persuadable,0
CUST02077,47,Female,Central,Bachelor,Mid,120,1,101.0,30.0,2,9,10,1.0,Month-to-Month,1,1,1,Loyalty Bonus,Lost Cause,1
CUST01903,54,Male,West,Bachelor,Low,22,3,68.62,30.0,2,7,1,4.0,One Year,1,1,0,None,Sleeping Dog,0
CUST00885,48,Male,North,Bachelor,Low,18,1,58.86,0.0,1,8,27,5.0,Month-to-Month,1,2,1,Discount,Persuadable,0
CUST03182,46,Female,East,Bachelor,High,1,1,107.09,30.0,1,8,3,3.0,One Year,1,0,1,Personal Outreach,Lost Cause,1
CUST02301,52,Female,West,Master,Lower-Mid,16,3,86.61,10.0,1,4,5,4.0,One Year,1,2,0,None,Sleeping Dog,0
CUST01041,60,Male,South,Diploma,Mid,4,3,48.47,3.0,0,8,64,2.0,Month-to-Month,0,0,0,None,Sleeping Dog,1
CUST00441,44,Female,North,Master,Upper-Mid,3,1,57.35,0.0,1,17,3,4.0,One Year,0,2,0,None,Sure Thing,0
CUST00638,40,Male,South,PhD,Lower-Mid,17,2,144.32,2.0,3,4,24,1.0,One Year,1,0,1,Free Upgrade,Persuadable,0
CUST00985,39,Male,East,PhD,Upper-Mid,72,3,72.88,7.0,0,11,1,4.0,One Year,1,0,1,Discount,Persuadable,0
CUST02689,49,Male,Central,Bachelor,Mid,50,1,59.52,15.0,3,8,31,5.0,One Year,1,0,1,Personal Outreach,Sleeping Dog,0
CUST02100,49,Male,South,,Upper-Mid,30,2,33.74,3.0,1,7,20,3.0,One Year,1,0,0,None,Sure Thing,0
CUST02044,41,Male,West,,Upper-Mid,11,3,57.61,30.0,3,11,7,4.0,Month-to-Month,1,1,0,None,Sleeping Dog,1
CUST03280,46,Female,South,High School,Lower-Mid,6,1,113.22,0.0,0,9,13,4.0,Month-to-Month,1,0,1,Discount,Persuadable,0
CUST03273,50,Female,North,Diploma,Mid,17,2,89.72,3.0,0,4,120,3.0,Month-to-Month,0,1,1,Discount,Sleeping Dog,1
CUST00869,47,Male,West,Master,Mid,37,3,76.19,10.0,3,12,11,4.0,One Year,1,1,0,None,Sleeping Dog,0
CUST00122,29,Female,South,Master,Upper-Mid,24,3,40.85,30.0,1,9,3,5.0,Month-to-Month,0,1,0,None,Sure Thing,0
CUST01560,36,Female,East,,Mid,58,1,92.78,3.0,1,9,29,3.0,Two Year,1,1,0,None,Sleeping Dog,0
CUST00512,39,Female,Central,,Lower-Mid,35,2,80.47,30.0,0,5,10,2.0,One Year,1,1,1,Discount,Sleeping Dog,1
CUST03256,41,Female,North,High School,Upper-Mid,37,4,29.28,15.0,3,3,50,5.0,Two Year,1,1,0,None,Sleeping Dog,0
CUST00775,47,Female,West,Bachelor,Low,1,1,52.36,0.0,4,14,8,3.0,Two Year,1,0,0,None,Sure Thing,0
CUST01171,49,Female,North,Bachelor,Mid,63,3,158.38,30.0,0,16,8,4.0,One Year,0,1,1,Discount,Sleeping Dog,0
CUST00735,52,Male,Central,Bachelor,Mid,37,4,120.24,0.0,1,10,14,5.0,One Year,0,2,1,Discount,Sleeping Dog,0
